Payee,Paid_By,Payment_Amount,Payment_Date,Payee_Type,Payee_Address,City_State_Zip,Payment_Year,Expenditure_Type,Date_Reported,Report_Filed,Expense_Description,Travel_Outside_Texas,Political_Obligation,Reimbursement_Intended,Correction,View_Report,TRANSACTION_ID
Home Depot,"Zimmerman, Donald S. ""Don""",$75.31,07/05/2016,Entity,11301 Lakeline Blvd,"Austin, TX, 78717",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Office Overhead/Rental Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0004
Local Voice Solutions,"Zimmerman, Donald S. ""Don""",$650.00,07/06/2016,Entity,3700 Thomson St.,"Austin, TX, 78702",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | Solicitation/Fundraising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0005
USPS,"Zimmerman, Donald S. ""Don""",$94.00,07/07/2016,Entity,500 E. Whitestone Blvd,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | Solicitation/Fundraising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0006
Paper Direct,"Zimmerman, Donald S. ""Don""",$175.48,07/07/2016,Entity,PO BOX 1151,"Minneapolis, MN, 55440",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | Solicitation/Fundraising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0007
Ebay,"Zimmerman, Donald S. ""Don""",$79.12,07/08/2016,Entity,2211 North 1st St.,"San Jose, CA, 95131",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Office Overhead/Rental Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0008
Austin Pregnancy Resource Center,"Zimmerman, Donald S. ""Don""",$200.00,07/12/2016,Entity,2717 Rio Grande St.,"Austin, TX, 78705",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Contributions/Donations Made By Candidate/Officeholder/Political Committee | Contributions made by Candidate,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0012
Home Depot,"Zimmerman, Donald S. ""Don""",$43.28,07/16/2016,Entity,7900 Ranch Road 620 N,"Austin, TX, 78726",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | Advertising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0014
Dirt Cheap Signs,"Zimmerman, Donald S. ""Don""",$2381.50,07/08/2016,Entity,7301 Bar K Ranch,"Lago Vista, TX, 78645",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | Advertising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0015
Dirt Cheap Signs,"Zimmerman, Donald S. ""Don""",$1998.30,07/12/2016,Entity,7301 Bar K Ranch,"Lago Vista, TX, 78645",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | Advertising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0016
"Kelly, Timothy","Zimmerman, Donald S. ""Don""",$800.00,07/14/2016,Individual,1727 Warwick Way,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Salaries/Wages/Contract Labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0017
Avery Ranch Golf Club,"Zimmerman, Donald S. ""Don""",$10.00,07/14/2016,Entity,10500 Avery Club Dr.,"Austin, TX, 78717",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0018
Avery Ranch Golf Club,"Zimmerman, Donald S. ""Don""",$19.00,07/12/2016,Entity,10500 Avery Club Dr.,"Austin, TX, 78717",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0019
HEB,"Zimmerman, Donald S. ""Don""",$140.26,07/15/2016,Entity,170 E Whitestone Blvd,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Event Expense | Event Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0020
Amy's Ice Cream,"Zimmerman, Donald S. ""Don""",$6.00,07/16/2016,Entity,13265 N. Hwy 183 Ste C,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0021
Thomas Graphics,"Zimmerman, Donald S. ""Don""",$3776.84,07/18/2016,Entity,9501 N Interstate 35,"Austin, TX, 78753",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | Solicitation/Fundraising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0022
Mesa Rosa,"Zimmerman, Donald S. ""Don""",$48.23,07/20/2016,Entity,10700 Anderson Mill Rd,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0023
Delaware Sub,"Zimmerman, Donald S. ""Don""",$14.05,07/22/2016,Entity,"10401 Anderson Mill Rd, Suite 118","Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0026
KW Carpet Care,"Zimmerman, Donald S. ""Don""",$50.00,07/23/2016,Entity,PO Box 1000,"Austin, TX, 78767",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Office Overhead/Rental Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0027
HEB,"Zimmerman, Donald S. ""Don""",$31.00,07/25/2016,Entity,1110 North Bell Blvd,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Office Overhead/Rental Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0028
RZ FoodMart,"Zimmerman, Donald S. ""Don""",$39.00,07/30/2016,Entity,9708 Anderson Mill Rd,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Transportation Equipment & Related Expense | Transportation Equipment & Related Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0032
HEB,"Zimmerman, Donald S. ""Don""",$35.90,07/30/2016,Entity,1110 North Bell Blvd,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0033
White Pages Inc,"Zimmerman, Donald S. ""Don""",$20.00,08/01/2016,Entity,500 Union St,"Seattle, WA, 98101",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | Solicitation/Fundraising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0036
Facebook,"Zimmerman, Donald S. ""Don""",$96.97,08/01/2016,Entity,1601 S. California Ave,"Palo Alto, CA, 94304",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | Advertising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0037
Facebook,"Zimmerman, Donald S. ""Don""",$95.33,08/01/2016,Entity,1601 S. California Ave,"Palo Alto, CA, 94304",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | Advertising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0038
KW Carpet Care,"Zimmerman, Donald S. ""Don""",$30.00,08/03/2016,Entity,PO Box 1000,"Austin, TX, 78767",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Office Overhead/Rental Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0039
Delaware Sub,"Zimmerman, Donald S. ""Don""",$10.00,08/03/2016,Entity,10401 Anderson Mill Rd,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0040
Wells Fargo,"Zimmerman, Donald S. ""Don""",$13.00,08/04/2016,Entity,10401 Anderson Mill Rd,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | Solicitation/Fundraising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0041
Delaware Sub,"Zimmerman, Donald S. ""Don""",$22.00,08/05/2016,Entity,10401 Anderson Mill Rd,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0042
"Farley, Pam","Zimmerman, Donald S. ""Don""",$200.00,08/05/2016,Individual,12104 Jill Sue Ct,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Office Overhead/Rental Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0043
"Kelly, Jacob","Zimmerman, Donald S. ""Don""",$35.00,08/05/2016,Individual,1727 Warwick Way,"Austin, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Salaries/Wages/Contract Labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0044
HEB,"Zimmerman, Donald S. ""Don""",$36.25,08/06/2016,Entity,11521 FM 620,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Transportation Equipment & Related Expense | Transportation Equipment & Related Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0045
Well Fargo,"Zimmerman, Donald S. ""Don""",$38.20,06/28/2016,Entity,10401 Anderson Mill Rd,"Austin, TX, 78750",2016,Non-political Expenditure Made From Political Contributions,07/15/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Checks,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258081),R20160715174005-F0007
Borgelt Law Firm,"Zimmerman, Donald S. ""Don""",$500.00,04/01/2016,Entity,614 S. Capital of Texas Hwy,"Austin, TX, 78746",2016,Political Expenditure from Political Contributions,07/15/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Council,,,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=258082),R20160715174406-F0001
White Pages Inc,"Zimmerman, Donald S. ""Don""",$49.00,08/09/2016,Entity,500 Union St,"Seattle, WA, 98101",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | Solicitation/Fundraising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0046
"Zimmerman, Don","Zimmerman, Donald S. ""Don""",$62.00,08/09/2016,Individual,10901 Enchanted Rock Cv,"Austin, TX, 78726",2016,Political Expenditure Made from Personal Funds,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | VOIP Phone System,,Yes,Yes,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0047
"Zimmerman, Don","Zimmerman, Donald S. ""Don""",$62.00,08/11/2016,Individual,10901 Enchanted Rock Cv,"Austin, TX, 78726",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | VOIP Phone System,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0048
"Kelly, Timothy","Zimmerman, Donald S. ""Don""",$800.00,08/11/2016,Individual,1727 Warwick Way,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Salaries/Wages/Contract Labor | Salaries/Wages/Contract Labor,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0049
USPS,"Zimmerman, Donald S. ""Don""",$149.00,08/11/2016,Entity,500 E. Whitestone Blvd,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | Solicitation/Fundraising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0050
Sams Club,"Zimmerman, Donald S. ""Don""",$119.12,08/12/2016,Entity,10901 Lakeline Mall Dr,"Austin, TX, 78717",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0052
Home Depot,"Zimmerman, Donald S. ""Don""",$24.94,08/15/2016,Entity,11301 Lakeline Blvd,"Austin, TX, 78717",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Advertising Expense | Advertising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0056
HEB,"Zimmerman, Donald S. ""Don""",$42.52,08/15/2016,Entity,170 E Whitestone Blvd,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0057
Office Max/Depot,"Zimmerman, Donald S. ""Don""",$21.64,08/18/2016,Entity,850 North Bell Blvd,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Office Overhead/Rental Expense | Overhead/Office Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0060
USPS,"Zimmerman, Donald S. ""Don""",$141.00,08/18/2016,Entity,500 E. Whitestone Blvd,"Cedar Park, TX, 78613",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Solicitation/Fundraising Expense | Solicitation/Fundraising Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0061
Delaware Sub,"Zimmerman, Donald S. ""Don""",$11.13,08/19/2016,Entity,10401 Anderson Mill Rd,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Food/Beverage Expense | Food/Beverage Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0062
Advance Auto Parts,"Zimmerman, Donald S. ""Don""",$40.57,08/20/2016,Entity,11701 FM 620,"Austin, TX, 78750",2016,Political Expenditure from Political Contributions,10/11/2016,C/OH: Candidate/Officeholder Campaign Finance Report,Transportation Equipment & Related Expense | Transportation Equipment & Related Expense,,Yes,,,View Report (http://www.austintexas.gov/edims/document.cfm?id=264528),R20161011160205-F0063
